iter	RMSE
0	0.6822141489
1	0.6758657545
2	0.6698478062
3	0.66402489
4	0.6584635651
5	0.6530918398
6	0.6480064429
7	0.6430784182
8	0.6382742376
9	0.6337628907
10	0.6293536661
11	0.6251292745
12	0.6211192245
13	0.6171794731
14	0.6134616487
15	0.609870901
16	0.606389637
17	0.603039136
18	0.5998051129
19	0.596631416
20	0.5935738434
21	0.5907197026
22	0.5879646247
23	0.5851876449
24	0.5825953385
25	0.5800501392
26	0.577580834
27	0.5752673787
28	0.5730254044
29	0.5708572917
30	0.5687425042
31	0.5666929378
32	0.5647005894
33	0.5627984395
34	0.5610121071
35	0.5592437963
36	0.5575510885
37	0.5558881987
38	0.5542339154
39	0.5526952018
40	0.5511546591
41	0.5497181749
42	0.5483669269
43	0.5470013802
44	0.5456734997
45	0.5444076789
46	0.5431747739
47	0.5420008291
48	0.5408024386
49	0.5396691953
50	0.5386057584
51	0.5374961739
52	0.5364657632
53	0.5354726353
54	0.5344391156
55	0.5335274095
56	0.5325896441
57	0.5316577564
58	0.5308028986
59	0.5299260656
60	0.5291305779
61	0.5283409592
62	0.527557524
63	0.5268052813
64	0.526052448
65	0.5253161773
66	0.5245927641
67	0.5239067871
68	0.5231930459
69	0.5225632498
70	0.521940867
71	0.521354746
72	0.5207125242
73	0.5201079375
74	0.5194617141
75	0.5189313016
76	0.5184106018
77	0.5178991581
78	0.5172985414
79	0.5167586312
80	0.5162431935
81	0.5157484774
82	0.5152751249
83	0.5147926952
84	0.5143178054
85	0.5138789865
86	0.513396036
87	0.5129811362
88	0.512560274
89	0.5120878447
90	0.5116869808
91	0.5113016095
92	0.5108555696
93	0.5104621483
94	0.5101202445
95	0.5097293198
96	0.5093622945
97	0.5090201644
98	0.5085886157
99	0.5081819268
100	0.5078690363
101	0.5075113008
102	0.5071908768
103	0.5068859671
104	0.5065699876
105	0.5062534104
106	0.5059384853
107	0.5056465525
108	0.5053636676
109	0.5050917143
110	0.5048091926
111	0.5044934887
112	0.5041780821
113	0.5039374556
114	0.5036653182
115	0.5033277266
116	0.5030643183
117	0.5027976046
118	0.5025811292
119	0.5023231927
120	0.5019291593
121	0.5015868932
122	0.5013834359
123	0.5010991435
124	0.5008659339
125	0.5005631392
126	0.5002803477
127	0.500026383
128	0.4997206885
129	0.4994123834
130	0.4990890247
131	0.4988759254
132	0.4985848913
133	0.4983946415
134	0.4980979031
135	0.4978495186
136	0.4975926531
137	0.4973205661
138	0.4971267742
139	0.4968623924
140	0.4966577842
141	0.4964421049
142	0.4961987772
143	0.4958180324
144	0.4956013919
145	0.4953629304
146	0.4951730356
147	0.4947897413
148	0.4945786821
149	0.494345586
150	0.4941416743
151	0.4939115257
152	0.4937415502
153	0.493537942
154	0.4933361414
155	0.4931402234
156	0.4929545808
157	0.4927056637
158	0.4925285638
159	0.4923290525
160	0.4921090615
161	0.491903529
162	0.4917085314
163	0.491456627
164	0.4912697829
165	0.491015347
166	0.49078346
167	0.4905265085
168	0.4903750974
169	0.4900671886
170	0.489852173
171	0.4896525157
172	0.4894641285
173	0.4892731667
174	0.4890336897
175	0.488857659
176	0.488697445
177	0.4884254257
178	0.4881872268
179	0.4879865584
180	0.4878380075
181	0.4875950463
182	0.4874454866
183	0.4872399225
184	0.4871041525
185	0.4869770958
186	0.4867784296
187	0.4866391387
188	0.486421076
189	0.4861466569
190	0.4859169217
191	0.485780375
192	0.4856570692
193	0.4854015703
194	0.4851785616
195	0.4849039802
196	0.4846832043
197	0.4845229458
198	0.4843791912
199	0.4842087654
200	0.4839785031
201	0.483800558
202	0.4836392362
203	0.4834811091
204	0.4833311445
205	0.4831223442
206	0.4829155284
207	0.4827326959
208	0.4825865761
209	0.4822215933
210	0.4820962149
211	0.4819232727
212	0.4816982248
