iter	Passed	Remaining
0	328	1971489
1	586	1757689
2	849	1697198
3	1117	1675404
4	1376	1650679
5	1627	1625512
6	1876	1606881
7	2128	1594093
8	2383	1586881
9	2640	1581728
10	2875	1565634
11	3112	1553029
12	3347	1541437
13	3583	1532098
14	3855	1538460
15	4087	1528676
16	4350	1531234
17	4586	1524281
18	4856	1528861
19	5115	1529502
20	5356	1525106
21	5589	1518762
22	5814	1510980
23	6051	1506877
24	6273	1499259
25	6493	1492064
26	6737	1490559
27	6973	1487312
28	7184	1479176
29	7424	1477442
30	7649	1472810
31	7918	1476761
32	8152	1474202
33	8382	1470842
34	8640	1472587
35	8926	1478870
36	9136	1472410
37	9340	1465399
38	9609	1468802
39	9859	1469078
40	10131	1472468
41	10357	1469341
42	10576	1465190
43	10841	1467569
44	11050	1462410
45	11259	1457402
46	11485	1454745
47	11698	1450594
48	11945	1450777
49	12194	1451155
50	12393	1445654
51	12668	1449064
52	12893	1446745
53	13139	1446801
54	13420	1450632
55	13645	1448390
56	13906	1449925
57	14130	1447622
58	14386	1448664
59	14623	1447709
60	14872	1447988
61	15078	1444137
62	15338	1445478
63	15530	1440409
64	15787	1441503
65	16010	1439471
66	16241	1438228
67	16447	1434842
68	16704	1435860
69	16901	1431818
70	17154	1432533
71	17340	1427700
72	17556	1425429
73	17799	1425428
74	18056	1426495
75	18250	1422560
76	18460	1420058
77	18665	1417163
78	18888	1415706
79	19130	1415632
80	19382	1416368
81	19608	1415147
82	19814	1412554
83	20015	1409655
84	20246	1408914
85	20462	1407177
86	20692	1406353
87	20912	1404950
88	21142	1404188
89	21384	1404243
90	21585	1401664
91	21772	1398194
92	22042	1400077
93	22284	1400157
94	22464	1396320
95	22714	1396948
96	22929	1395380
97	23160	1394844
98	23374	1393274
99	23616	1393375
100	23806	1390454
101	24047	1390493
102	24257	1388824
103	24482	1387941
104	24715	1387587
105	24940	1386784
106	25155	1385435
107	25369	1384048
108	25600	1383577
109	25807	1381890
110	26017	1380353
111	26223	1378601
112	26414	1376138
113	26601	1373501
114	26808	1371891
115	27041	1371638
116	27260	1370694
117	27496	1370645
118	27682	1368054
119	27923	1368252
120	28164	1368416
121	28397	1368221
122	28594	1366250
123	28822	1365832
124	29036	1364707
125	29266	1364355
126	29532	1365716
127	29746	1364629
128	29997	1365225
129	30229	1364977
130	30494	1366178
131	30710	1365215
132	30908	1363453
133	31119	1362289
134	31329	1361094
135	31560	1360835
136	31761	1359253
137	31999	1359290
138	32232	1359094
139	32524	1361372
140	32744	1360622
141	32980	1360559
142	33204	1359992
143	33487	1361809
144	33716	1361444
145	33963	1361814
146	34237	1363225
147	34517	1364833
148	34774	1365524
149	35043	1366684
150	35261	1365854
151	35481	1365114
152	35726	1365328
153	36015	1367176
154	36242	1366709
155	36466	1366091
156	36701	1365899
157	36937	1365737
158	37132	1364097
159	37354	1363429
160	37568	1362481
161	37821	1362988
162	38044	1362376
163	38258	1361458
164	38452	1359817
165	38684	1359551
166	38916	1359277
167	39134	1358509
168	39399	1359399
169	39651	1359796
170	39957	1362070
171	40185	1361632
172	40410	1361098
173	40656	1361288
174	40923	1362151
175	41172	1362450
176	41389	1361659
177	41634	1361776
178	41874	1361754
179	42125	1362072
180	42380	1362502
181	42689	1364646
182	42938	1364893
183	43137	1363517
184	43344	1362433
185	43557	1361508
186	43809	1361840
187	44020	1360894
188	44291	1361802
189	44584	1363355
190	44812	1362911
191	45041	1362497
192	45240	1361211
193	45477	1361037
194	45731	1361396
195	45972	1361341
196	46227	1361725
197	46470	1361733
198	46685	1360931
199	46985	1362576
200	47259	1363469
201	47466	1362438
202	47668	1361253
203	47857	1359705
204	48091	1359465
205	48347	1359818
206	48593	1359906
207	48824	1359562
208	49048	1359053
209	49319	1359800
210	49553	1359545
211	49778	1359043
212	50011	1358765
213	50246	1358542
214	50487	1358467
215	50717	1358095
216	50985	1358752
217	51210	1358260
218	51508	1359695
219	51741	1359385
220	52010	1360030
221	52232	1359463
222	52487	1359731
223	52709	1359163
224	52952	1359119
225	53193	1359026
226	53535	1361489
227	53735	1360362
228	53943	1359434
229	54268	1361442
230	54520	1361594
231	54764	1361553
232	55013	1361639
233	55236	1361072
234	55460	1360561
235	55655	1359320
236	55862	1358371
237	56057	1357151
238	56308	1357306
239	56516	1356389
240	56776	1356755
241	57036	1357081
242	57242	1356151
243	57493	1356286
244	57762	1356834
245	58067	1358221
246	58272	1357249
247	58511	1357079
248	58765	1357263
249	58975	1356431
250	59172	1355307
251	59453	1356095
252	59675	1355559
253	59912	1355342
254	60143	1355000
255	60405	1355353
256	60683	1356042
257	60883	1355017
258	61112	1354624
259	61370	1354878
260	61609	1354698
261	61805	1353589
262	62051	1353579
263	62311	1353852
264	62569	1354100
265	62796	1353655
266	63083	1354531
267	63346	1354859
268	63536	1353625
269	63780	1353567
270	64067	1354390
271	64290	1353878
272	64564	1354428
273	64837	1354959
274	65094	1355145
275	65285	1353955
276	65513	1353545
277	65723	1352774
278	65964	1352632
279	66205	1352491
280	66475	1352933
281	66730	1353060
282	66993	1353357
283	67251	1353558
284	67474	1353044
285	67704	1352669
286	67917	1351959
287	68191	1352473
288	68437	1352408
289	68695	1352591
290	68934	1352404
291	69218	1353081
292	69492	1353566
293	69739	1353509
294	69985	1353455
295	70248	1353714
296	70501	1353764
297	70786	1354449
298	71019	1354126
299	71285	1354420
300	71551	1354719
301	71775	1354224
302	71985	1353471
303	72227	1353309
304	72457	1352942
305	72710	1352979
306	72962	1353017
307	73188	1352557
308	73420	1352220
309	73646	1351760
310	73850	1350913
311	74145	1351731
312	74347	1350844
313	74598	1350844
314	74848	1350845
315	75136	1351508
316	75369	1351188
317	75616	1351111
318	75816	1350206
319	76038	1349684
320	76276	1349445
321	76511	1349161
322	76724	1348506
323	76989	1348742
324	77226	1348493
325	77472	1348410
326	77719	1348323
327	77922	1347488
328	78184	1347671
329	78379	1346704
